spot_name,availability,lat,lon
EATON ROAD - 4 Eaton Road,5,53.34398,-6.31463333333333
"EDEN QUAY - Laughter Lounge, 8 Eden Quay",2,53.74824,-6.20563333333333
ELMWOOD AVENUE LOWER - Junction with Ranelagh,5,53.4941199999999,-6.18497333333333
ELY PLACE UPPER - Royal Hibernian Acadamy,3,53.6290599999999,-6.18687999999999
"ERRIGAL ROAD - Crumlin Medical Clinic, 1 Errigal Road",4,53.4879599999999,-6.48188666666667
ESSEX STREET EAST - Dollard & Co,1,53.7157999999999,-6.24393333333333
ESSEX STREET EAST - Dollard & Co,1,53.7159999999999,-6.24346666666666
EXCHANGE STREET UPPER - Hard Rock Hotel,5,53.7060599999999,-6.24785333333333
EXCHEQUER STREET - Central Hotel,5,53.6940199999999,-6.23028666666666
FISHAMBLE STREET - 31 Fishamble Street,5,53.7132499999999,-6.2566
FISHAMBLE STREET - 30 Fishamble Street,2,53.71278,-6.25656
FISHAMBLE STREET - 29 Fishamble Street,2,53.7119,-6.25643333333333
FISHAMBLE STREET - 28 Fishamble Street,3,53.711,-6.25626666666666
"FISHAMBLE STREET - Reptile Haven, 27 Fishamble Street",4,53.7106,-6.2562
FISHAMBLE STREET - Christ Church,2,53.7003,-6.25773333333333
FISHAMBLE STREET - Christ Church,2,53.7011,-6.25782
FITZWILLIAM LANE - The Merrion Hotel,1,53.64743,-6.17675333333333
FITZWILLIAM LANE - The Merrion Hotel Spa,4,53.64653,-6.17533999999999
FITZWILLIAM PLACE - 9 Fitzwilliam Place,1,53.59324,-6.17514666666666
FITZWILLIAM SQUARE SOUTH - 35 Fitzwilliam Square South,3,53.60904,-6.18079333333333
"FITZWILLIAM STREET - NCBI Home, 12/13 Fitzwilliam Street",2,53.6850199999999,-6.06510666666666
FITZWILLIAM STREET LOWER - ESB Head Office,3,53.63175,-6.16079999999999
FITZWILLIAM STREET UPPER - 20 Fitzwilliam Street Upper,1,53.6132,-6.16846666666666
FLEET STREET - Temple Bar Hotel,1,53.72523,-6.21316
FOLEY STREET - Opposite Citas College Dublin,3,53.7987,-6.17223333333333
FOLEY STREET - Opposite Citas College Dublin,3,53.7990199999999,-6.17188666666666
FOLEY STREET - Liberty Park,0,53.7931599999999,-6.17805333333333
FOLEY STREET - Liberty Park,5,53.79284,-6.1784
FOSTER PLACE - Opposite Bank of Ireland,0,53.71328,-6.21764666666666
"FREDERICK STREET SOUTH - Trinity Townhouse, 29 Frederick Street South",4,53.6831699999999,-6.19709333333333
FUMBALLY LANE - Fumbally Court,2,53.6247,-6.27378666666667
"GILFORD ROAD - Brabazon House, 2 Gilford Road",1,53.53598,-5.98849999999999
"GILFORD ROAD - Brabazon House, 2 Gilford Road",2,53.53563,-5.98693999999999
GOLDEN LANE - Radisson Blu Hotel,1,53.6681599999999,-6.2481
GRAND CANAL PLACE - Guinness Storehouse,4,53.677,-6.33426666666666
GRAND CANAL PLACE - Guinness Storehouse,5,53.6763,-6.33426666666666
GRAND CANAL PLACE - Guinness Storehouse,5,53.6755999999999,-6.33426666666666
GRAND CANAL QUAY - Clanwilliam Square,3,53.65824,-6.12096666666666
GRAND CANAL STREET LOWER - Sir Patrick Dun's Hospital,1,53.65503,-6.12606
GRAND CANAL STREET LOWER - Sir Patrick Dun's Hospital,2,53.65534,-6.12640666666666
GRANTHAM STREET - Gratham House,2,53.59424,-6.23769999999999
"GRATTAN CRESCENT - Inchicore Medical Centre, 15 Grattan Crescent",0,53.657218,-6.47903466666666
"GRATTAN CRESCENT - Inchicore Medical Centre, 15 Grattan Crescent",3,53.656611,-6.47914199999999
"GRATTAN CRESCENT - Opposite Inchicore Medical Centre, 15 Grattan Crescent",2,53.6578089999999,-6.47961333333332
GREEK STREET - Saint Michan's House,0,53.7401999999999,-6.27085333333333
GREEK STREET - Saint Michan's House,0,53.7408,-6.27093333333333
GREEK STREET - Saint Michan's House,2,53.74129,-6.271
GREEN STREET - Junction with King Street North,5,53.77598,-6.26033999999999
GREEN STREET - Junction with King Street North,2,53.77533,-6.26033333333333
"GREENLEA ROAD - Greenlea Pharmacy, 116 Greenlea Road",4,53.2908699999999,-6.38495333333333
GREENMOUNT LANE - Opposite 1 Greenmount Lane,3,53.5409199999999,-6.29158666666666
HADDINGTON ROAD - Saint Mary's Church,0,53.60724,-6.13136666666666
HADDINGTON ROAD - Junction with Percy Place,1,53.60104,-6.13910666666666
HALSTON STREET - Saint Michan's Church,4,53.76345,-6.2646
HALSTON STREET - Saint Michan's Church,4,53.76376,-6.26466
HARCOURT TERRACE - Junction with Adelaide Road,4,53.57875,-6.20143333333333
HAROLD'S CROSS ROAD - 77 Harold's Cross Road,2,53.50929,-6.28828666666667
HATCH STREET LOWER - Junction with Leeson Street,3,53.5982699999999,-6.19126
HATCH STREET UPPER - Opposite National Concert Hall,0,53.59214,-6.20576666666666
HAYMARKET - Junction with Queen Street,5,53.74398,-6.30127333333333
HENDRICK LANE - Junction with Benburb Street,3,53.74054,-6.30933333333333
HENRIETTA STREET - Junction with Henrietta Place,0,53.79624,-6.25662
HERBERT PARK - Herbert Park Tennis Courts,0,53.5249599999999,-6.10084666666666
HERBERT PARK - Herbert Park Tennis Courts,2,53.52548,-6.10047999999999
HERBERT PARK - Herbert Park Tennis Courts,0,53.52531,-6.10001333333332
HERBERT STREET - 6 Herbert Street,3,53.62336,-6.14293333333333
HERBERT STREET - Junction with Baggot Street Lower,0,53.61013,-6.14986666666666
HEYTESBURY STREET - Opposite Saint Kevin's Church,5,53.57975,-6.24787999999999
HIGHFIELD ROAD - Christ Church Rathgar,3,53.3503099999999,-6.26467333333333
HOGAN PLACE - 31 Hogan Place,1,53.6694599999999,-6.14014666666666
HOGAN PLACE - 30 Hogan Place,2,53.6697099999999,-6.14039333333333
HOLLES STREET - Opposite The National Maternity Hospital,4,53.6665499999999,-6.15065333333333
HOLLES STREET - Opposite The National Maternity Hospital,5,53.66709,-6.15046
HUME STREET - Junction with Saint Stephen's Green,2,53.63869,-6.19111333333332
INCHICORE ROAD - Opposite Kilmainham Gaol,3,53.6768,-6.42909333333333
IRISHTOWN ROAD - Irishtown & Ringsend Primary Care Centre,0,53.6754099999999,-6.05765333333333
IRISHTOWN ROAD - Irishtown & Ringsend Primary Care Centre,0,53.67578,-6.05792
IRISHTOWN ROAD - Jumction with Fairview Avenue,4,53.6786099999999,-6.05996666666666
"JAMES'S STREET - Saint James Medical Centre, 178 Saint James's Street",4,53.68013,-6.36674666666666
KEEPER ROAD - Fr. Lar Redmond Community Centre,4,53.56529,-6.39991333333333
KENILWORTH ROAD - 8 Kenilworth Road,4,53.4361199999999,-6.26832
KENILWORTH SQUARE SOUTH - 47 Kenilworth Square South,0,53.4027099999999,-6.27955333333333
KING'S INNS STREET - Opposite The Salvation Army,4,53.78328,-6.2448
LARKFIELD GROVE - 31 Larkfield Grove,4,53.4069199999999,-6.32942666666666
LEA ROAD - Junction with Strand Road,4,53.5718699999999,-5.98847333333333
LEA ROAD - Junction with Strand Road,0,53.5715,-5.98882
LEICESTER AVENUE - Church of the Three Patrons,2,53.40583,-6.25549333333333
LEICESTER AVENUE - Church of the Three Patrons,1,53.4060199999999,-6.25582666666666
LEINSTER ROAD - 11 Leinster Road,4,53.4801999999999,-6.24472
LEINSTER SQUARE - Junction with Rathmines Road Lower,2,53.47839,-6.23426666666666
LIFFEY STREET WEST - Junction with Benburb Street,3,53.74209,-6.32493999999999
LISLE ROAD - Crumlin Village Pharmacy,3,53.4353999999999,-6.46079333333333
"LOMBARD STREET EAST - Joyce House, 8-11 Lombard Street East",3,53.71724,-6.16263999999999
"LOMBARD STREET EAST - Joyce House, 8-11 Lombard Street East",5,53.7166699999999,-6.16277333333333
MACKEN STREET - Conway Court,4,53.6838999999999,-6.12972666666666
MACKEN STREET - Conway Court,3,53.68459,-6.12968666666666
"MANOR STREET - Manor Health, 4 Manor Street",5,53.78555,-6.31603999999999
MANOR STREET - 76 Manor Street,2,53.79208,-6.31959333333333
MARK STREET - Saint Mark's Church,1,53.7149699999999,-6.17461333333333
MARK'S LANE - Pearse Street Primary Care Centre,3,53.71704,-6.16846666666666
MARK'S LANE - Pearse Street Primary Care Centre,1,53.7169699999999,-6.16806666666666
MARLBOROUGH STREET - Opposite The Spire Car Park,0,53.79539,-6.20989333333333
MARLBOROUGH STREET - Opposite The Spire Car Park,0,53.7960999999999,-6.21003333333333
MARROWBONE LANE - Saint Catherine's Community Sports Centre,2,53.6442199999999,-6.33048666666666
"MAYOR STREET LOWER - Spar, Mayor Street Lower",4,53.7676499999999,-6.14443333333333
MAYOR STREET LOWER - Opposite National College of Ireland,4,53.7664,-6.13457999999999
MEATH STREET - Junction with The Coombe,4,53.65778,-6.29207333333333
"MEATH STREET - Vincent's Shop, 35 Meath Street",1,53.66515,-6.29322
"MEATH STREET - Cut Price Jewellers, 25 Meath Street",2,53.6720599999999,-6.29480666666666
"MERRION ROAD - Spar, 6 Merrion Road",2,53.5444599999999,-6.08013999999999
MERRION SQUARE EAST - Opposite 45 Merrion Square East,3,53.64928,-6.1549
MERRION SQUARE SOUTH - 69 Merrion Square South,3,53.65045,-6.16647333333333
MERRION SQUARE SOUTH - 70 Merrion Square South,5,53.65063,-6.16669333333333
MERRION SQUARE SOUTH - 70 Merrion Square South,0,53.6508099999999,-6.16690666666666
MERRION SQUARE SOUTH - 71 Merrion Square South,3,53.65099,-6.16712666666666
MERRION SQUARE WEST - National Gallery of Ireland,2,53.6665199999999,-6.17442
MERRION SQUARE WEST - National Gallery of Ireland,1,53.66685,-6.17430666666666
MERRION SQUARE WEST - National Gallery of Ireland,0,53.66718,-6.17418666666666
MERRION SQUARE WEST - National Gallery of Ireland,5,53.6675099999999,-6.17407333333333
MILLTOWN ROAD - Church of Saints Columbanus and Gall,4,53.34515,-6.15347333333333
MILLTOWN ROAD - Milltown Parish Pastoral Centre,4,53.3512,-6.15269999999999
MOLESWORTH STREET - Junction with Frederick Street South,3,53.6747699999999,-6.19995333333333
MOLESWORTH STREET - 29 Molesworth Street,4,53.6717699999999,-6.19459333333333
MOLESWORTH STREET - 30 Molesworth Street,1,53.67198,-6.19507333333333
"MONTAGUE STREET - Opposite Gerry's Coffee Shop, 6 Montaque Street",0,53.6206699999999,-6.23192
"MOREHAMPTON ROAD - Pure Pharmacy, 79 Morehampton Road",3,53.49179,-6.12206
MORNING STAR AVENUE - The Richmond Education and Event Centre,1,53.78124,-6.28422666666666
MORNING STAR AVENUE - The Richmond Education and Event Centre,3,53.78178,-6.28424666666666
MORNING STAR AVENUE - The Richmond Education and Event Centre,5,53.7823199999999,-6.28425333333333
MOUNT EDEN ROAD - 1 Mount Eden Road,1,53.4790699999999,-6.11898666666666
MOUNT STREET CRESCENT - Saint Stephen's Church,4,53.62943,-6.13917333333333
"MOUNT STREET LOWER - Dublin Passport Office, 42-47 Mount Street Lower",5,53.64249,-6.13203999999999
MOUNT STREET UPPER - 37 Upper Mount Street,5,53.6318,-6.14444666666666
MOUNT STREET UPPER - 48 Upper Mount Street,0,53.63574,-6.14912
MOYNE ROAD - Junction with Dunville Avenue,5,53.4503999999999,-6.18993999999999
NEW BRIDE STREET - Junction with Long Lane,5,53.61889,-6.25109333333333
NEW BRIDE STREET - Junction with Long Lane,2,53.61945,-6.25113999999999
"NEWMARKET - Creedon Group Ltd, 12 Newmarket",1,53.6348199999999,-6.28540666666666
"NEWMARKET - Creedon Group Ltd, 12 Newmarket",2,53.6348199999999,-6.28561333333332
NOEL PURCELL WALK - Beaux Lane House,1,53.66354,-6.22953999999999
NORTH WALL AVENUE - South of junction with Mayor Street Upper,4,53.75424,-6.07936666666666
NORTH WALL AVENUE - South of junction with Mayor Street Upper,1,53.7535699999999,-6.0794
NORTH WALL QUAY - Waterfront,4,53.7440499999999,-6.08879333333333
NORTH WALL QUAY - Waterfront,5,53.7433399999999,-6.08425333333333
NORTHBROOK AVENUE - 13 Northbrook Avenue,3,53.5254399999999,-6.18983333333333
NORTHBROOK ROAD - Junction with Ranelagh Road,1,53.5313599999999,-6.20197999999999
NORTHUMBERLAND SQUARE - Junction with Abbey Street Lower,2,53.76339,-6.1959
NUTLEY LANE - Merrion Shopping Centre,2,53.42889,-6.00088666666667
NUTLEY LANE - Merrion Shopping Centre,2,53.4291,-6.00047999999999
NUTLEY LANE - Merrion Shopping Centre,4,53.4295699999999,-5.99963333333333
NUTLEY LANE - Merrion Shopping Centre,0,53.4298,-5.99923333333333
"ORMOND QUAY UPPER - Raymond Quinn Solicitor, 23 Ormond Quay Upper",5,53.7234699999999,-6.25896
"ORMOND QUAY UPPER - Word Perfect Translations, 22 Ormond Quay Upper",3,53.72358,-6.25866
"ORMOND QUAY UPPER - Inn on the Liffey, 21 Ormond Quay Upper",1,53.7237199999999,-6.25826666666666
PALMERSTON PARK - 12 Palmerston Park,1,53.36548,-6.19996
PARK DRIVE - 43 Park Drive,1,53.4139699999999,-6.16985333333333
PARKGATE STREET - The Criminal Courts of Justice,5,53.7469199999999,-6.37293999999999
PARKGATE STREET - The Criminal Courts of Justice,5,53.74689,-6.37249333333333
"PARKGATE STREET - Opposite Tipperary House, 7 Parkgate Street",2,53.7436,-6.34821333333333
PARNELL SQUARE WEST - Rotunda Hospital,1,53.79674,-6.22949333333333
PARNELL SQUARE WEST - Rotunda Hospital,1,53.7964099999999,-6.22929999999999
PARNELL SQUARE WEST - Rotunda Hospital,3,53.7961099999999,-6.22911333333333
"PEARSE STREET - Apache Pizza, 108 Pearse Street",1,53.69749,-6.13739999999999
PEARSE STREET - Opposite Trinity Technology and Enterprise Campus,0,53.69409,-6.12529333333333
PEMBROKE ROAD - 46 Pembroke Road,0,53.5817999999999,-6.12246666666666
PEMBROKE ROAD - 48 Pembroke Road,3,53.58175,-6.1221
"RANELAGH - Burke's Pharmacy, 21-23 Ranelagh",2,53.50188,-6.18863999999999
RANELAGH - Ranelagh Luas Stop,1,53.50693,-6.19092666666666
RANELAGH AVENUE - Opposite AIB Bank,4,53.5010099999999,-6.18569333333333
RATHDOWN AVENUE - Bushy Park entrance opposite Rathdown Crescent,3,53.26503,-6.32662666666666
RATHDOWN AVENUE - Bushy Park entrance at Tennis Courts,2,53.24585,-6.33778666666667
RATHDOWN AVENUE - Bushy Park entrance opposite Rathdown Drive,1,53.25133,-6.35446666666666
"RATHFARNHAM ROAD - Bank of Ireland, 1 Rathfarnham Road",3,53.3176,-6.31189333333333
"RATHGAR ROAD - Benezet Antiques, 101A Rathgar Road",2,53.3514,-6.26896666666666
"RATHMINES ROAD UPPER - Rathmines Post Office, 4-6 Rathmines Road Upper",0,53.45444,-6.2341
"RATHMINES ROAD UPPER - Uppercross House Hotel, 36 Rathmines Road Upper",1,53.44459,-6.2318
"RATHMINES ROAD UPPER - Uppercross House Hotel, 36 Rathmines Road Upper",1,53.4441199999999,-6.23167333333333
RAYMOND STREET - Opposite 1 Raymond Street,1,53.5715699999999,-6.28557333333333
RICHMOND AVENUE SOUTH - Brookfield Court,5,53.3579699999999,-6.17439333333333
"RICHMOND ROW - Atlas Language School, Portobello House",2,53.5541999999999,-6.2322
"RICHMOND ROW - Atlas Language School, Portobello House",5,53.5537,-6.23216
ROPE WALK PLACE - Junction with Fitzwilliam Street,1,53.6931699999999,-6.06635333333333
"SAINT AGNES PARK - City Girl, 58 Saint Agnes Park",2,53.4239899999999,-6.44236
"SAINT ANTHONY'S ROAD - Enable Ireland, 41 Saint Anthony's Road",4,53.62874,-6.36229999999999
"SAINT ANTHONY'S ROAD - Enable Ireland, 41 Saint Anthony's Road",3,53.62788,-6.36251333333333
SAINT JAMES'S TERRACE - Our Lady of Dolours Church,5,53.5787399999999,-6.34938666666666
SAINT JAMES'S TERRACE - Our Lady of Dolours Church,1,53.5783,-6.34956
SAINT JOHN'S ROAD - Saint John's Church,0,53.4950699999999,-5.99488666666667
SAINT STEPHEN'S GREEN NORTH - 15 Saint Stephen's Green,0,53.65481,-6.20468666666666
"SAINT STEPHEN'S GREEN NORTH - Cliff Townhouse, 22 Saint Stephen's Green",1,53.65155,-6.19946666666666
SAINT STEPHEN'S GREEN NORTH - 23 Saint Stephen's Green,0,53.6513099999999,-6.19909333333333
SAINT STEPHEN'S GREEN WEST - Royal College of Surgeons,3,53.6443699999999,-6.22003333333333
SAINT STEPHEN'S GREEN WEST - Royal College of Surgeons,1,53.64485,-6.21992666666666
SAINT STEPHEN'S GREEN WEST - Stephen's Green Shopping Centre,0,53.65461,-6.21702
SAINT STEPHEN'S GREEN WEST - Stephen's Green Shopping Centre,1,53.65509,-6.21689333333333
SAINT STEPHEN'S GREEN WEST - Stephen's Green Shopping Centre,2,53.65679,-6.21643999999999
SANDYMOUNT GREEN - 17 Sandymount Green,3,53.5734999999999,-6.01429999999999
"SANDYMOUNT GREEN - Jaz Hair Co., 20B Sandymount Green",5,53.5775699999999,-6.01428666666667
"SANDYMOUNT GREEN - Sandymount Pharmacy, 1A Sandymount Green",5,53.58209,-6.01193333333333
"SANDYMOUNT GREEN - Sandymount Pharmacy, 1A Sandymount Green",0,53.58184,-6.01165333333333
SANDYMOUNT ROAD - Saint Mary's Church,3,53.62088,-6.03396
SANDYMOUNT ROAD - Saint Mary's Church,4,53.62043,-6.03380666666666
"SANDYMOUNT ROAD - Tesco, 80 Sandymount Road",5,53.5913699999999,-6.01666
SEAFORT AVENUE - Seafort Terrace,2,53.59475,-6.00786666666666
SERPENTINE AVENUE - Opposite 15 Serpentine Avenue,4,53.5399599999999,-6.05880666666666
SHELBOURNE ROAD - IBM House,4,53.5764199999999,-6.08475333333333
"SHELBOURNE ROAD - Starbucks Coffee, The Oval",1,53.56803,-6.08493999999999
SHELBOURNE ROAD - Ballsbridge College of Further Education,4,53.5528399999999,-6.08492
